box_area,cam_depth,true_depth
96556,1093,1000
101548,882,1000
138910,840,1000
148011,954,1000
157591,800,1000
120456,1144,1000
131725,972,1000
138330,777,1000
80070,991,1000
110649,1033,1000
67639,1048,1000
100590,966,1000
127414,1016,1000
76161,934,1000
79035,1075,1000
97990,953,1000
134120,981,1000
97237,974,1000
123582,1082,1000
115918,1060,1000
158218,1030,1000
125714,972,1000
102985,943,1000
101548,1025,1000
114481,1050,1000
125019,1127,1000
79826,1144,1000
247328,865,1000
102027,835,1000
78556,1013,1000
116876,1032,1000
94166,1088,1000
146095,988,1000
101069,1025,1000
94644,1020,1000
101069,1128,1000
183936,832,1000
85262,1078,1000
109212,910,1000
72369,1001,1000
110418,1053,1000
72063,1041,1000
158696,984,1000
132884,1080,1000
125714,1000,1000
97716,1129,1000
90052,982,1000
106594,894,1000
136515,985,1000
118313,714,1000
77408,988,1000
85140,1087,1000
143400,838,1000
272460,1103,1000
106338,921,1000
104901,1017,1000
103943,1104,1000
123802,1096,1000
114242,1156,1000
112565,1068,1000
153438,1001,1000
97237,1132,1000
139098,998,1000
138620,934,1000
105859,1016,1000
97237,1030,1000
152801,774,1000
134796,733,1000
108733,936,1000
135945,845,1000
84128,864,1000
73287,1042,1000
135078,945,1000
122112,845,1000
128372,933,1000
44460,926,1000
98468,873,1000
92512,1094,1000
115439,848,1000
91489,989,1000
122112,969,1000
146095,1017,1000
75682,978,1000
98674,1090,1000
119750,951,1000
73315,1001,1000
83346,933,1000
138142,755,1000
111128,912,1000
96279,1107,1000
98674,1169,1000
120708,1057,1000
115439,997,1000
68766,1083,1000
150414,899,1000
86925,1149,1000
128372,920,1000
123802,951,1000
96078,1014,1000
149927,1015,1000
111128,983,1000
179146,952,1000
141305,822,1000
119022,979,1000
123324,1149,1000
123103,1277,1000
89386,1106,1000
120708,1244,1000
120456,1085,1000
127148,1093,1000
32504,887,1000
46366,882,1000
119978,982,1000
98674,1012,1000
150406,971,1000
126935,973,1000
108254,1023,1000
128104,843,1000
18603,866,1000
86220,928,1000
135078,1004,1000
124758,990,1000
116876,1121,1000
68832,1103,1000
94363,779,1000
92984,1089,1000
97716,1033,1000
112565,965,1000
127359,798,1000
141600,1031,1000
104901,881,1000
126882,732,1000
132683,1053,1000
44850,960,1000
126670,971,1000
91489,1030,1000
95321,1098,1000
91489,971,1000
67968,1024,1000
99632,981,1000
96758,968,1000
91298,1205,1000
130494,1151,1000
66102,1104,1000
140008,1011,1000
170045,1066,1000
87178,1070,1000
92447,961,1000
198306,1024,1000
112330,1027,1000
70266,953,1000
144179,1093,1000
91010,1217,1000
92447,1131,1000
89094,941,1000
98195,878,1000
104422,1080,1000
97034,1075,1000
95321,1118,1000
83346,979,1000
42768,795,1000
129538,1006,1000
18198,814,1000
89864,1228,1000
118313,993,1000
134120,1026,1000
110418,1189,1000
91489,983,1000
132683,955,1000
91489,1085,1000
149624,896,1000
76936,979,1000
83825,989,1000
112565,944,1000
145137,985,1000
143878,1016,1000
129330,1062,1000
141488,990,1000
70413,1046,1000
96758,1086,1000
115439,1001,1000
109212,941,1000
175426,839,1000
152801,747,1000
90531,973,1000
124061,963,1000
95800,955,1000
104901,1022,1000
142263,1043,1000
112086,964,1000
136230,1062,1000
125977,1170,1000
126935,1042,1000
95122,990,1000
41860,994,1000
84128,1236,1000
153280,900,1000
118313,1116,1000
138910,912,1000
126935,1052,1000
119750,1121,1000
70328,1145,1000
113044,725,1000
85432,1046,1000
109212,1026,1000
132683,1092,1000
79993,1237,1000
114002,914,1000
122145,1000,1000
80951,964,1000
125019,983,1000
25866,877,1000
91489,998,1000
87952,1051,1000
68585,1064,1000
102506,1107,1000
121187,1002,1000
101548,938,1000
133162,925,1000
101480,1098,1000
125019,983,1000
123324,1103,1000
79035,941,1000
17516,853,1000
121666,1049,1000
172558,1025,1000
101069,969,1000
116876,1040,1000
86742,1145,1000
157036,876,1000
131450,1058,1000
128372,1089,1000
139098,937,1000
91010,1040,1000
96758,966,1000
141784,1079,1000
92732,1297,1000
83346,959,1000
133162,1043,1000
95800,1131,1000
123324,928,1000
138142,1023,1000
99632,1263,1000
129809,1098,1000
151048,971,1000
109691,963,1000
85262,922,1000
126192,1009,1000
97237,730,1000
14233,844,1000
98195,902,1000
40633,835,1000
136230,1021,1000
92254,1200,1000
75203,952,1000
94842,1019,1000
93210,882,1000
108733,1055,1000
102506,1056,1000
126456,1077,1000
148208,932,1000
149468,911,1000
115918,988,1000
45410,888,1000
82388,1029,1000
84960,1045,1000
91298,947,1000
112330,807,1000
84304,922,1000
138620,1058,1000
130288,994,1000
82775,1014,1000
78556,1202,1000
19160,863,1000
114242,1077,1000
142263,779,1000
72688,1006,1000
95800,978,1000
91489,992,1000
113044,1030,1000
95800,1078,1000
100590,843,1000
118296,937,1000
104422,895,1000
76314,1075,1000
155350,896,1000
131725,1106,1000
124540,1003,1000
136036,742,1000
133641,956,1000
81430,1072,1000
114960,1092,1000
103943,956,1000
103248,1187,1000
108254,1045,1000
140054,1005,1000
180104,829,1000
167778,953,1000
103248,772,1000
126935,978,1000
133641,1054,1000
135557,969,1000
81909,992,1000
115434,947,1000
109940,828,1000
118792,1074,1000
115439,908,1000
102027,1016,1000
103464,920,1000
143100,800,1000
133162,1090,1000
113044,931,1000
101548,1095,1000
114002,985,1000
136036,1070,1000
95600,1084,1000
120229,953,1000
13120,863,1000
98674,962,1000
142072,914,1000
138620,1036,1000
125977,1038,1000
101548,1043,1000
81260,943,1000
159028,913,1000
107775,957,1000
138431,1007,1000
127414,969,1000
79464,1017,1000
155196,1047,1000
103943,905,1000
95321,884,1000
69531,1048,1000
104422,1004,1000
70950,1053,1000
94363,1040,1000
141784,1007,1000
130767,960,1000
107775,952,1000
116632,1047,1000
17280,850,1000
103726,957,1000
22425,932,1000
128372,998,1000
121890,1093,1000
111360,980,1000
104422,950,1000
118792,943,1000
113286,928,1000
123802,1127,1000
104901,969,1000
106338,1213,1000
84128,1236,1000
134318,1038,1000
95800,1054,1000
96758,1124,1000
101548,931,1000
112330,1291,1000
104901,1024,1000
109212,869,1000
103464,1021,1000
115676,923,1000
134120,980,1000
122846,1100,1000
96078,1101,1000
131928,1076,1000
107072,929,1000
140826,841,1000
105380,1023,1000
118066,987,1000
95321,1037,1000
124236,960,1000
117355,1025,1000
92254,1200,1000
137952,1066,1000
128582,985,1000
131246,955,1000
146574,775,1000
197827,1067,1000
121412,1145,1000
75992,999,1000
81260,897,1000
81430,1224,1000
109691,1188,1000
114002,1075,1000
119271,980,1000
136994,943,1000
89573,1004,1000
79993,1237,1000
157591,804,1000
63228,1097,1000
108254,823,1000
111607,910,1000
79993,965,1000
100111,986,1000
119750,989,1000
81909,992,1000
131175,814,1000
74576,1015,1000
113523,1054,1000
90052,985,1000
75840,1104,1000
68497,1102,1000
105859,959,1000
76153,1096,1000
140347,1049,1000
119271,957,1000
71700,1006,1000
110649,872,1000
133362,1043,1000
97716,937,1000
112330,1060,1000
19557,878,1000
138142,996,1000
114481,954,1000
127414,1042,1000
136994,1000,1000
136036,1033,1000
127414,962,1000
126935,1103,1000
131725,792,1000
189200,746,1000
109462,1099,1000
157262,929,1000
122846,1073,1000
72329,983,1000
111607,1025,1000
92708,1029,1000
110896,1025,1000
94842,1085,1000
124540,980,1000
73632,1001,1000
133641,999,1000
106817,1022,1000
138910,1066,1000
18642,851,1000
135557,1030,1000
137473,942,1000
85084,933,1000
94363,1078,1000
97716,1018,1000
120204,925,1000
125498,1109,1000
122145,1034,1000
67060,1080,1000
76640,1064,1000
75046,1214,1000
96758,996,1000
149614,830,1000
128372,1111,1000
102506,1013,1000
167650,997,1000
83825,958,1000
89573,1040,1000
20988,841,1000
90531,1031,1000
95800,961,1000
94363,975,1000
121187,943,1000
112086,1014,1000
69531,1052,1000
95321,981,1000
89573,1060,1000
79514,984,1000
86220,974,1000
127626,992,1000
145376,923,1000
127414,768,1000
86699,937,1000
25016,1201,1000
125019,1026,1000
115918,1019,1000
103943,966,1000
83172,1135,1000
151364,788,1000
143221,985,1000
158218,920,1000
73788,1001,1000
133162,1104,1000
134120,1027,1000
101336,988,1000
133641,933,1000
60706,908,1000
98674,951,1000
144179,1120,1000
125498,1082,1000
89094,907,1000
106817,1103,1000
95321,1029,1000
159652,933,1000
93884,1078,1000
140826,1007,1000
88908,1036,1000
74418,1021,1000
174356,815,1000
132406,1025,1000
83346,954,1000
98674,1013,1000
122624,1065,1000
38313,820,1000
91010,963,1000
21076,861,1000
122145,973,1000
74576,1001,1000
84304,985,1000
71423,1098,1000
119271,986,1000
141771,993,1000
123103,1141,1000
78520,997,1000
110649,1130,1000
91968,1013,1000
154872,965,1000
86220,957,1000
125019,1009,1000
87657,915,1000
263378,1068,1000
94363,972,1000
85262,945,1000
133840,1061,1000
138431,1018,1000
82867,1012,1000
111607,937,1000
145684,841,1000
98195,1022,1000
81430,978,1000
114481,899,1000
93210,1033,1000
102027,913,1000
96758,1133,1000
132204,1033,1000
58316,907,1000
82388,926,1000
138142,847,1000
69058,1059,1000
160608,1015,1000
132204,1128,1000
123103,969,1000
152482,987,1000
120615,1132,1000
97034,1089,1000
120456,953,1000
110920,1063,1000
142263,836,1000
81260,1046,1000
113523,1070,1000
109212,1009,1000
92447,1039,1000
78556,1054,1000
102506,887,1000
177709,1055,1000
73632,985,1000
113523,889,1000
117355,1088,1000
81909,937,1000
123324,1100,1000
28860,1294,1000
139868,988,1000
136036,1028,1000
19516,879,1000
140826,994,1000
49816,1162,1000
87474,1048,1000
91298,1205,1000
102027,991,1000
126935,1124,1000
96279,1068,1000
118544,857,1000
116397,1114,1000
108984,1056,1000
109212,1066,1000
152482,937,1000
94200,1110,1000
82867,950,1000
128582,994,1000
74734,1011,1000
152482,954,1000
104901,1029,1000
131928,727,1000
167650,784,1000
103464,1007,1000
135557,978,1000
140532,834,1000
124758,1110,1000
113049,921,1000
166213,868,1000
120934,982,1000
86559,1098,1000
108254,1057,1000
69856,1079,1000
94842,1088,1000
68766,1087,1000
139389,1026,1000
95321,964,1000
128851,952,1000
101548,943,1000
133840,1081,1000
71272,1022,1000
141784,1014,1000
125714,960,1000
131246,1169,1000
134318,1054,1000
95800,963,1000
126456,1077,1000
124280,942,1000
44547,1158,1000
116112,1083,1000
100590,1028,1000
71744,1061,1000
146574,998,1000
114481,920,1000
117355,893,1000
98195,940,1000
86220,1002,1000
