Frame_Number,Width_Pixels,Height_Pixels,Area_Pixels,Depth_mm
1760273069840,200,473,94600,1480.4
1760273070341,197,472,92984,1489.2
1760273070836,194,473,91762,1488.4
1760273071356,188,474,89112,1501.2
1760273071840,187,473,88451,1469.8
1760273072317,183,473,86559,1469.8
1760273072756,182,474,86268,1452.6
1760273073242,177,473,83721,1451.8
1760273073739,177,473,83721,1446.6
1760273074215,171,471,80541,1375.4
1760273074694,188,474,89112,1452.4
1760273075210,172,473,81356,1441.8
1760273076229,173,472,81656,1435.2
1760273076725,172,473,81356,1445.2
1760273077209,172,472,81184,1447.4
1760273084399,289,471,136119,1370.6
1760273084903,280,471,131880,1479.75
1760273085432,263,472,124136,1504.0
1760273085937,185,473,87505,1471.8
1760273086432,195,474,92430,1483.6
1760273086930,195,474,92430,1477.8
1760273087441,194,474,91956,1462.0
1760273087947,188,474,89112,1465.6
1760273088441,192,473,90816,1467.0
1760273088946,183,474,86742,1461.2
1760273089458,201,472,94872,1459.8
1760273089967,190,473,89870,1451.0
1760273090466,192,473,90816,1451.4
1760273090950,193,472,91096,1449.4
1760273091441,201,472,94872,1378.6
1760273104375,215,471,101265,1215.8
1760273104375,33,135,4455,1215.8
1760273104866,190,472,89680,1449.0
1760273104866,29,143,4147,1449.0
1760273105367,183,473,86559,1482.2
1760273105367,43,136,5848,1482.2
1760273105890,188,472,88736,1493.6
1760273105890,46,129,5934,1493.6
1760273106388,186,473,87978,1509.8
1760273106388,38,123,4674,1509.8
1760273106861,193,473,91289,1524.0
1760273106861,40,117,4680,1524.0
1760273107305,198,474,93852,1523.6
1760273107305,34,111,3774,1523.6
1760273107798,189,473,89397,1527.8
1760273107798,39,107,4173,1527.8
1760273108304,179,474,84846,1508.6
1760273108304,33,104,3432,1508.6
1760273108791,176,474,83424,1504.6
1760273108791,27,98,2646,1504.6
1760273109259,170,471,80070,1475.2
1760273109259,35,93,3255,1475.2
1760273109766,168,472,79296,1472.0
1760273110257,168,472,79296,1463.8
1760273110698,167,473,78991,1461.4
1760273121692,160,470,75200,1360.0
1760273122180,163,465,75795,1443.4
1760273122653,162,462,74844,1438.8
1760273123122,159,459,72981,1437.2
1760273123573,143,455,65065,1464.8
1760273124033,133,456,60648,1372.5
1760273124524,126,451,56826,1385.25
1760273124992,123,451,55473,1396.0
1760273125921,121,445,53845,1435.5
1760273126429,124,449,55676,1454.4
1760273126943,128,448,57344,1441.0
1760273128038,118,448,52864,1416.8
1760273128584,122,443,54046,1434.4
1760273129564,134,444,59496,1437.6
1760273130045,128,443,56704,1457.6
1760273131033,139,449,62411,1459.6
1760273131511,141,449,63309,1448.8
1760273132002,142,451,64042,1456.8
1760273132987,131,449,58819,1462.4
1760273133479,126,449,56574,1429.2
1760273133978,127,442,56134,1434.0
1760273134470,129,438,56502,1435.2
1760273134963,132,448,59136,1444.0
1760273136357,129,448,57792,1394.8
1760273136817,123,446,54858,1440.8
1760273137309,152,438,66576,1412.4
1760273137788,143,444,63492,1444.4
1760273138181,160,438,70080,1453.8
1760273138670,151,443,66893,1456.6
1760273139196,188,359,67492,1452.2
1760273139672,176,435,76560,1468.6
1760273140158,185,362,66970,1465.0
1760273140645,187,363,67881,1449.8
1760273141067,188,444,83472,1456.4
1760273141543,180,341,61380,1455.0
1760273142047,153,434,66402,1450.0
1760273142538,166,428,71048,1440.4
1760273143031,131,424,55544,1500.8
1760273143513,182,424,77168,1485.4
1760273143974,192,427,81984,1510.8
1760273144424,192,434,83328,1527.2
1760273144923,191,436,83276,1515.2
1760273145401,209,423,88407,1507.8
1760273145829,203,422,85666,1535.6
1760273146297,191,425,81175,1557.2
1760273146799,201,428,86028,1549.0
1760273147299,198,433,85734,1540.4
1760273147802,187,437,81719,1546.0
1760273148287,197,424,83528,1557.0
1760273148772,172,429,73788,1548.2
1760273149256,177,424,75048,1549.4
1760273149725,164,418,68552,1541.6
1760273150193,155,424,65720,1539.2
1760273150692,151,426,64326,1544.8
1760273151193,158,421,66518,1528.8
1760273151684,138,418,57684,1499.6
1760273152162,132,431,56892,1503.6
1760273152647,124,422,52328,1499.4
1760273153120,119,418,49742,1497.0
1760273153571,110,428,47080,1495.2
1760273154049,110,439,48290,1480.4
1760273154567,107,434,46438,1485.6
1760273155063,107,427,45689,1510.8
1760273155536,120,424,50880,1498.8
1760273156021,114,436,49704,1494.8
1760273156493,118,428,50504,1518.4
1760273156960,130,429,55770,1530.0
1760273157456,171,438,74898,1540.8
1760273157941,152,428,65056,1522.2
1760273158415,179,414,74106,1543.8
1760273158886,181,417,75477,1577.6
1760273159350,192,404,77568,1613.0
1760273159827,176,412,72512,1613.2
