Frame_Number,Width_Pixels,Height_Pixels,Area_Pixels,Depth_mm
1761288793032,70,366,25620,
1761288793713,130,359,46670,
1761288794367,112,357,39984,
1761288794954,103,356,36668,
1761288795657,103,355,36565,
1761288796334,104,356,37024,
1761288797040,103,356,36668,
1761288797724,104,355,36920,
1761288798389,103,354,36462,
1761288799086,105,352,36960,
1761288799729,114,350,39900,
1761288800445,106,355,37630,
1761288801114,108,356,38448,
1761288801807,112,357,39984,
1761288802494,118,359,42362,
1761288803217,100,358,35800,
1761288803945,101,360,36360,
1761288804663,105,358,37590,
1761288805348,102,356,36312,
1761288806000,100,357,35700,
1761288806660,100,352,35200,
1761288807411,99,351,34749,
1761288808003,101,349,35249,
1761288808641,104,348,36192,
1761288809300,101,347,35047,
1761288810009,94,351,32994,
1761288810696,95,351,33345,
1761288811389,93,351,32643,
1761288812057,105,353,37065,
1761288812776,95,356,33820,
1761288813449,90,352,31680,
1761288814088,92,349,32108,
1761288814761,91,348,31668,
1761288815456,87,351,30537,
1761288816122,86,355,30530,
1761288816790,83,357,29631,
1761288817490,81,352,28512,
1761288818128,80,351,28080,
1761288818775,83,351,29133,
1761288819423,80,350,28000,
1761288820097,80,350,28000,
1761288820811,82,351,28782,
1761288821508,82,351,28782,
1761288822147,99,342,33858,
1761288822849,108,335,36180,
1761288823527,100,340,34000,
1761288824210,84,350,29400,
1761288824906,73,353,25769,
1761288825597,72,355,25560,
1761288826279,73,353,25769,
1761288826988,72,353,25416,
1761288827698,72,355,25560,
1761288828373,90,348,31320,
1761288829026,98,344,33712,
1761288829682,91,341,31031,
1761288830356,73,347,25331,
1761288831018,76,346,26296,
1761288831634,71,347,24637,
1761288832199,72,348,25056,
1761288832874,73,350,25550,
1761288833590,74,348,25752,
1761288834257,78,349,27222,
1761288834901,76,350,26600,
1761288835599,73,351,25623,
1761288836349,76,351,26676,
1761288837048,80,351,28080,
1761288837754,100,343,34300,
1761288838338,107,339,36273,
1761288839020,104,340,35360,
1761288839615,94,336,31584,
1761288840267,93,336,31248,
1761288840964,97,326,31622,
1761288841676,102,331,33762,
1761288842413,100,334,33400,
1761288843041,94,335,31490,
1761288843739,96,333,31968,
1761288844437,98,332,32536,
1761288845102,98,331,32438,
1761288845766,98,332,32536,
1761288846424,106,332,35192,
1761288847129,103,334,34402,
1761288847777,102,333,33966,
1761288848490,101,329,33229,
1761288849779,100,331,33100,
1761288850517,102,333,33966,
1761288851226,105,333,34965,
1761288851898,102,334,34068,
1761288852576,102,335,34170,
1761288853262,102,336,34272,
1761288853965,101,337,34037,
1761288854670,102,336,34272,
1761288855337,104,334,34736,
1761288856004,118,334,39412,
1761288856668,109,338,36842,
1761288857329,107,338,36166,
1761288858031,107,339,36273,
1761288858681,108,339,36612,
1761288859338,107,337,36059,
1761288860028,108,339,36612,
1761288860705,109,347,37823,
1761288861353,112,352,39424,
1761288862062,114,353,40242,
1761288862752,114,352,40128,
1761288863461,126,351,44226,
1761288864161,117,355,41535,
1761288864812,112,342,38304,
1761288865490,110,342,37620,
1761288866174,107,340,36380,
1761288866872,107,342,36594,
1761288867548,107,341,36487,
1761288868192,108,340,36720,
1761288868869,109,341,37169,
1761288869554,113,340,38420,
1761288870194,118,341,40238,
1761288870886,115,341,39215,
1761288871532,118,343,40474,
1761288872245,125,342,42750,
1761288872908,120,354,42480,
1761288873591,113,354,40002,
1761288874227,109,339,36951,
1761288874838,115,343,39445,
1761288875480,118,346,40828,
1761288876148,127,348,44196,
1761288876880,110,355,39050,
1761288877528,105,355,37275,
1761288878204,104,353,36712,
1761288878876,97,355,34435,
1761288879555,90,357,32130,
1761288880161,88,356,31328,
1761288880812,88,353,31064,
1761288886486,114,361,41154,
1761288887123,89,351,31239,
1761288887759,83,351,29133,
1761288888426,82,354,29028,
1761288889049,82,352,28864,
1761288889698,82,352,28864,
1761288890403,80,351,28080,
1761288891097,81,350,28350,
1761288891776,80,351,28080,
1761288892429,81,352,28512,
1761288893112,80,351,28080,
1761288893806,78,346,26988,
1761288894439,83,338,28054,
1761288895187,92,351,32292,
1761288895867,95,351,33345,
1761288896579,100,350,35000,
1761288897216,97,350,33950,
1761288897930,91,348,31668,
1761288898581,92,349,32108,
1761288899288,97,350,33950,
1761288899971,103,353,36359,
1761288900614,101,353,35653,
1761288901289,97,356,34532,
1761288902014,98,355,34790,
1761288902667,102,353,36006,
1761288903356,102,353,36006,
1761288904046,102,353,36006,
1761288904776,102,353,36006,
1761288905414,119,354,42126,
1761288906099,117,354,41418,
1761288906779,107,353,37771,
1761288907466,101,354,35754,
1761288908114,101,353,35653,
1761288908772,102,353,36006,
1761288909446,100,354,35400,
1761288910180,104,354,36816,
1761288910869,105,354,37170,
